URLs,Path_Details
https://www.timeout.com/sonoma/sitemap.xml.gz,"['sonoma', 'sitemap.xml.gz']"
https://www.timeout.com/mumbai/sitemap.xml.gz,"['mumbai', 'sitemap.xml.gz']"
https://www.timeout.com/paphos/sitemap.xml.gz,"['paphos', 'sitemap.xml.gz']"
https://www.timeout.com/snowdonia/sitemap.xml.gz,"['snowdonia', 'sitemap.xml.gz']"
https://www.timeout.com/phuket/sitemap.xml.gz,"['phuket', 'sitemap.xml.gz']"
https://www.timeout.com/valencia/sitemap.xml.gz,"['valencia', 'sitemap.xml.gz']"
https://www.timeout.com/es/valencia/sitemap.xml.gz,"['es', 'valencia', 'sitemap.xml.gz']"
https://www.timeout.com/chicago/sitemap.xml.gz,"['chicago', 'sitemap.xml.gz']"
https://www.timeout.com/es/chicago/sitemap.xml.gz,"['es', 'chicago', 'sitemap.xml.gz']"
https://www.timeout.com/wellington/sitemap.xml.gz,"['wellington', 'sitemap.xml.gz']"
https://www.timeout.com/adelaide/sitemap.xml.gz,"['adelaide', 'sitemap.xml.gz']"
https://www.timeout.com/cambodia/sitemap.xml.gz,"['cambodia', 'sitemap.xml.gz']"
https://www.timeout.com/lake-george/sitemap.xml.gz,"['lake-george', 'sitemap.xml.gz']"
https://www.timeout.com/newport-beach/sitemap.xml.gz,"['newport-beach', 'sitemap.xml.gz']"
https://www.timeout.com/canberra/sitemap.xml.gz,"['canberra', 'sitemap.xml.gz']"
https://www.timeout.com/quebec/sitemap.xml.gz,"['quebec', 'sitemap.xml.gz']"
https://www.timeout.com/caribbean/sitemap.xml.gz,"['caribbean', 'sitemap.xml.gz']"
https://www.timeout.com/gloucestershire/sitemap.xml.gz,"['gloucestershire', 'sitemap.xml.gz']"
https://www.timeout.com/lancashire/sitemap.xml.gz,"['lancashire', 'sitemap.xml.gz']"
https://www.timeout.com/galway/sitemap.xml.gz,"['galway', 'sitemap.xml.gz']"
https://www.timeout.com/jersey-city/sitemap.xml.gz,"['jersey-city', 'sitemap.xml.gz']"
https://www.timeout.com/finland/sitemap.xml.gz,"['finland', 'sitemap.xml.gz']"
https://www.timeout.com/morocco/sitemap.xml.gz,"['morocco', 'sitemap.xml.gz']"
https://www.timeout.com/northern-ireland/sitemap.xml.gz,"['northern-ireland', 'sitemap.xml.gz']"
https://www.timeout.com/dale/sitemap.xml.gz,"['dale', 'sitemap.xml.gz']"
https://www.timeout.com/tulum/sitemap.xml.gz,"['tulum', 'sitemap.xml.gz']"
https://www.timeout.com/dublin/sitemap.xml.gz,"['dublin', 'sitemap.xml.gz']"
https://www.timeout.com/santa-catalina-island/sitemap.xml.gz,"['santa-catalina-island', 'sitemap.xml.gz']"
https://www.timeout.com/charlotte/sitemap.xml.gz,"['charlotte', 'sitemap.xml.gz']"
https://www.timeout.com/dorking/sitemap.xml.gz,"['dorking', 'sitemap.xml.gz']"
https://www.timeout.com/anchorage/sitemap.xml.gz,"['anchorage', 'sitemap.xml.gz']"
https://www.timeout.com/portugal/sitemap.xml.gz,"['portugal', 'sitemap.xml.gz']"
https://www.timeout.com/pt/portugal/sitemap.xml.gz,"['pt', 'portugal', 'sitemap.xml.gz']"
https://www.timeout.com/red-bank/sitemap.xml.gz,"['red-bank', 'sitemap.xml.gz']"
https://www.timeout.com/stockbridge/sitemap.xml.gz,"['stockbridge', 'sitemap.xml.gz']"
https://www.timeout.com/benalmadena/sitemap.xml.gz,"['benalmadena', 'sitemap.xml.gz']"
https://www.timeout.com/kuala-lumpur/sitemap.xml.gz,"['kuala-lumpur', 'sitemap.xml.gz']"
https://www.timeout.com/savannah/sitemap.xml.gz,"['savannah', 'sitemap.xml.gz']"
https://www.timeout.com/panama-city-beach/sitemap.xml.gz,"['panama-city-beach', 'sitemap.xml.gz']"
https://www.timeout.com/canada/sitemap.xml.gz,"['canada', 'sitemap.xml.gz']"
https://www.timeout.com/thailand/sitemap.xml.gz,"['thailand', 'sitemap.xml.gz']"
https://www.timeout.com/lanzarote/sitemap.xml.gz,"['lanzarote', 'sitemap.xml.gz']"
https://www.timeout.com/gulf-shores/sitemap.xml.gz,"['gulf-shores', 'sitemap.xml.gz']"
https://www.timeout.fr/paris/sitemap.xml.gz,"['https:', '', 'www.timeout.fr', 'paris', 'sitemap.xml.gz']"
https://www.timeout.com/paris/en/sitemap.xml.gz,"['paris', 'en', 'sitemap.xml.gz']"
https://www.timeout.com/es/paris/sitemap.xml.gz,"['es', 'paris', 'sitemap.xml.gz']"
https://www.timeout.com/north-america/sitemap.xml.gz,"['north-america', 'sitemap.xml.gz']"
https://www.timeout.com/nice/sitemap.xml.gz,"['nice', 'sitemap.xml.gz']"
https://www.timeout.com/darwin/sitemap.xml.gz,"['darwin', 'sitemap.xml.gz']"
https://www.timeout.com/santa-fe/sitemap.xml.gz,"['santa-fe', 'sitemap.xml.gz']"
https://www.timeout.com/southend/sitemap.xml.gz,"['southend', 'sitemap.xml.gz']"
https://www.timeout.com/moscow/sitemap.xml.gz,"['moscow', 'sitemap.xml.gz']"
https://www.timeout.com/napa/sitemap.xml.gz,"['napa', 'sitemap.xml.gz']"
https://www.timeout.com/newcastle/sitemap.xml.gz,"['newcastle', 'sitemap.xml.gz']"
https://www.timeout.com/austria/sitemap.xml.gz,"['austria', 'sitemap.xml.gz']"
https://www.timeout.com/cape-town/sitemap.xml.gz,"['cape-town', 'sitemap.xml.gz']"
https://www.timeout.com/niagara-falls-ny/sitemap.xml.gz,"['niagara-falls-ny', 'sitemap.xml.gz']"
https://www.timeout.com/las-vegas/sitemap.xml.gz,"['las-vegas', 'sitemap.xml.gz']"
https://www.timeout.com/es/las-vegas/sitemap.xml.gz,"['es', 'las-vegas', 'sitemap.xml.gz']"
https://www.timeout.com/baton-rouge/sitemap.xml.gz,"['baton-rouge', 'sitemap.xml.gz']"
https://www.timeout.com/fort-collins/sitemap.xml.gz,"['fort-collins', 'sitemap.xml.gz']"
https://www.timeout.com/es/bilbao/sitemap.xml.gz,"['es', 'bilbao', 'sitemap.xml.gz']"
https://www.timeout.com/about/sitemap.xml.gz,"['about', 'sitemap.xml.gz']"
https://www.timeout.com/bethesda/sitemap.xml.gz,"['bethesda', 'sitemap.xml.gz']"
https://www.timeout.com/schaumburg/sitemap.xml.gz,"['schaumburg', 'sitemap.xml.gz']"
https://www.timeout.com/greece/sitemap.xml.gz,"['greece', 'sitemap.xml.gz']"
https://www.timeout.com/liverpool/sitemap.xml.gz,"['liverpool', 'sitemap.xml.gz']"
https://www.timeout.com/blackpool/sitemap.xml.gz,"['blackpool', 'sitemap.xml.gz']"
https://www.timeout.com/south-padre-island/sitemap.xml.gz,"['south-padre-island', 'sitemap.xml.gz']"
https://www.timeout.com/lincoln/sitemap.xml.gz,"['lincoln', 'sitemap.xml.gz']"
https://www.timeout.com/sacramento/sitemap.xml.gz,"['sacramento', 'sitemap.xml.gz']"
https://www.timeout.com/alabama/sitemap.xml.gz,"['alabama', 'sitemap.xml.gz']"
https://www.timeout.com/central-america/sitemap.xml.gz,"['central-america', 'sitemap.xml.gz']"
https://www.timeout.com/canary-islands/sitemap.xml.gz,"['canary-islands', 'sitemap.xml.gz']"
https://www.timeout.com/philippines/sitemap.xml.gz,"['philippines', 'sitemap.xml.gz']"
https://www.timeout.com/gisborne/sitemap.xml.gz,"['gisborne', 'sitemap.xml.gz']"
https://www.timeout.com/bogota/sitemap.xml.gz,"['bogota', 'sitemap.xml.gz']"
https://www.timeout.com/es/bogota/sitemap.xml.gz,"['es', 'bogota', 'sitemap.xml.gz']"
https://www.timeout.com/palm-springs/sitemap.xml.gz,"['palm-springs', 'sitemap.xml.gz']"
https://www.timeout.com/milwaukee/sitemap.xml.gz,"['milwaukee', 'sitemap.xml.gz']"
https://www.timeout.com/england/sitemap.xml.gz,"['england', 'sitemap.xml.gz']"
https://www.timeout.com/corpus-christi/sitemap.xml.gz,"['corpus-christi', 'sitemap.xml.gz']"
https://www.timeout.com/santa-cruz/sitemap.xml.gz,"['santa-cruz', 'sitemap.xml.gz']"
https://www.timeout.com/mexico-country/sitemap.xml.gz,"['mexico-country', 'sitemap.xml.gz']"
https://www.timeout.com/dusseldorf/sitemap.xml.gz,"['dusseldorf', 'sitemap.xml.gz']"
https://www.timeout.com/fort-lauderdale/sitemap.xml.gz,"['fort-lauderdale', 'sitemap.xml.gz']"
https://www.timeout.com/washington/sitemap.xml.gz,"['washington', 'sitemap.xml.gz']"
https://www.timeout.com/coventry/sitemap.xml.gz,"['coventry', 'sitemap.xml.gz']"
https://www.timeout.com/ibiza/sitemap.xml.gz,"['ibiza', 'sitemap.xml.gz']"
https://www.timeout.com/rome/sitemap.xml.gz,"['rome', 'sitemap.xml.gz']"
https://www.timeout.com/es/roma/sitemap.xml.gz,"['es', 'roma', 'sitemap.xml.gz']"
https://www.timeout.com/bordeaux/sitemap.xml.gz,"['bordeaux', 'sitemap.xml.gz']"
https://www.timeout.com/niagara-falls-canada/sitemap.xml.gz,"['niagara-falls-canada', 'sitemap.xml.gz']"
https://www.timeout.com/big-island/sitemap.xml.gz,"['big-island', 'sitemap.xml.gz']"
https://www.timeout.com/new-york-state/sitemap.xml.gz,"['new-york-state', 'sitemap.xml.gz']"
https://www.timeout.com/panama/sitemap.xml.gz,"['panama', 'sitemap.xml.gz']"
https://www.timeout.com/fort-worth/sitemap.xml.gz,"['fort-worth', 'sitemap.xml.gz']"
https://www.timeout.com/riga/sitemap.xml.gz,"['riga', 'sitemap.xml.gz']"
https://www.timeout.com/osaka/sitemap.xml.gz,"['osaka', 'sitemap.xml.gz']"
https://www.timeout.com/santa-barbara/sitemap.xml.gz,"['santa-barbara', 'sitemap.xml.gz']"
https://www.timeout.com/honolulu/sitemap.xml.gz,"['honolulu', 'sitemap.xml.gz']"
https://www.timeout.com/ontario/sitemap.xml.gz,"['ontario', 'sitemap.xml.gz']"
https://www.timeout.com/utah/sitemap.xml.gz,"['utah', 'sitemap.xml.gz']"
https://www.timeoutmexico.mx/ciudad-de-mexico/sitemap.xml.gz,"['https:', '', 'www.timeoutmexico.mx', 'ciudad-de-mexico', 'sitemap.xml.gz']"
https://www.timeout.com/mexico-city/sitemap.xml.gz,"['mexico-city', 'sitemap.xml.gz']"
https://www.timeout.com/athens/sitemap.xml.gz,"['athens', 'sitemap.xml.gz']"
https://www.timeout.com/ann-arbor/sitemap.xml.gz,"['ann-arbor', 'sitemap.xml.gz']"
https://www.timeout.com/es/sevilla/sitemap.xml.gz,"['es', 'sevilla', 'sitemap.xml.gz']"
https://www.timeout.com/seville/sitemap.xml.gz,"['seville', 'sitemap.xml.gz']"
https://www.timeout.com/wisconsin/sitemap.xml.gz,"['wisconsin', 'sitemap.xml.gz']"
https://www.timeout.com/wells/sitemap.xml.gz,"['wells', 'sitemap.xml.gz']"
https://www.timeout.com/jakarta/sitemap.xml.gz,"['jakarta', 'sitemap.xml.gz']"
https://www.timeout.com/belfast/sitemap.xml.gz,"['belfast', 'sitemap.xml.gz']"
https://www.timeout.com/oaxaca/sitemap.xml.gz,"['oaxaca', 'sitemap.xml.gz']"
https://www.timeout.com/southampton/sitemap.xml.gz,"['southampton', 'sitemap.xml.gz']"
https://www.timeout.com/twentynine-palms/sitemap.xml.gz,"['twentynine-palms', 'sitemap.xml.gz']"
https://www.timeout.com/aruba/sitemap.xml.gz,"['aruba', 'sitemap.xml.gz']"
https://www.timeout.com/burlington/sitemap.xml.gz,"['burlington', 'sitemap.xml.gz']"
https://www.timeout.com/st-ives/sitemap.xml.gz,"['st-ives', 'sitemap.xml.gz']"
https://www.timeout.com/tulsa/sitemap.xml.gz,"['tulsa', 'sitemap.xml.gz']"
https://www.timeout.com/south-lake-tahoe/sitemap.xml.gz,"['south-lake-tahoe', 'sitemap.xml.gz']"
https://www.timeout.com/falmouth/sitemap.xml.gz,"['falmouth', 'sitemap.xml.gz']"
https://www.timeout.com/newquay/sitemap.xml.gz,"['newquay', 'sitemap.xml.gz']"
https://www.timeout.com/milton-keynes/sitemap.xml.gz,"['milton-keynes', 'sitemap.xml.gz']"
https://www.timeout.com/bangkok/sitemap.xml.gz,"['bangkok', 'sitemap.xml.gz']"
https://www.timeout.com/bangkok/th/sitemap.xml.gz,"['bangkok', 'th', 'sitemap.xml.gz']"
https://www.timeout.com/miami/sitemap.xml.gz,"['miami', 'sitemap.xml.gz']"
https://www.timeout.com/es/miami/sitemap.xml.gz,"['es', 'miami', 'sitemap.xml.gz']"
https://www.timeout.com/southeast-asia/sitemap.xml.gz,"['southeast-asia', 'sitemap.xml.gz']"
